year,month,total_deaths,male_decedents,female_decedents,date
2007,Jan,0,0,0,2007-01-01
2007,Feb,3,3,0,2007-02-01
2007,Mar,3,2,1,2007-03-01
2007,Apr,1,1,0,2007-04-01
2007,May,2,2,0,2007-05-01
2007,Jun,3,3,0,2007-06-01
2007,Jul,2,2,0,2007-07-01
2007,Aug,2,2,0,2007-08-01
2007,Sep,2,2,0,2007-09-01
2007,Oct,3,2,1,2007-10-01
2007,Nov,1,1,0,2007-11-01
2007,Dec,2,2,0,2007-12-01
2008,Jan,3,2,1,2008-01-01
2008,Feb,4,3,1,2008-02-01
2008,Mar,1,0,1,2008-03-01
2008,Apr,0,0,0,2008-04-01
2008,May,0,0,0,2008-05-01
2008,Jun,6,4,2,2008-06-01
2008,Jul,6,5,1,2008-07-01
2008,Aug,2,2,0,2008-08-01
2008,Sep,1,0,1,2008-09-01
2008,Oct,1,1,0,2008-10-01
2008,Nov,1,1,0,2008-11-01
2008,Dec,1,1,0,2008-12-01
2009,Jan,1,1,0,2009-01-01
2009,Feb,3,2,1,2009-02-01
2009,Mar,1,1,0,2009-03-01
2009,Apr,1,1,0,2009-04-01
2009,May,1,1,0,2009-05-01
2009,Jun,1,1,0,2009-06-01
2009,Jul,0,0,0,2009-07-01
2009,Aug,0,0,0,2009-08-01
2009,Sep,2,1,1,2009-09-01
2009,Oct,3,3,0,2009-10-01
2009,Nov,2,2,0,2009-11-01
2009,Dec,1,1,0,2009-12-01
2010,Jan,1,0,1,2010-01-01
2010,Feb,1,1,0,2010-02-01
2010,Mar,0,0,0,2010-03-01
2010,Apr,0,0,0,2010-04-01
2010,May,1,1,0,2010-05-01
2010,Jun,3,1,2,2010-06-01
2010,Jul,2,1,1,2010-07-01
2010,Aug,2,1,1,2010-08-01
2010,Sep,0,0,0,2010-09-01
2010,Oct,2,1,1,2010-10-01
2010,Nov,4,1,3,2010-11-01
2010,Dec,5,4,1,2010-12-01
2011,Jan,1,0,1,2011-01-01
2011,Feb,2,1,1,2011-02-01
2011,Mar,2,1,1,2011-03-01
2011,Apr,0,0,0,2011-04-01
2011,May,4,4,0,2011-05-01
2011,Jun,2,1,1,2011-06-01
2011,Jul,0,0,0,2011-07-01
2011,Aug,1,1,0,2011-08-01
2011,Sep,2,2,0,2011-09-01
2011,Oct,0,0,0,2011-10-01
2011,Nov,2,2,0,2011-11-01
2011,Dec,5,3,2,2011-12-01
2012,Jan,2,2,0,2012-01-01
2012,Feb,2,2,0,2012-02-01
2012,Mar,1,1,0,2012-03-01
2012,Apr,4,4,0,2012-04-01
2012,May,1,1,0,2012-05-01
2012,Jun,0,0,0,2012-06-01
2012,Jul,3,3,0,2012-07-01
2012,Aug,0,0,0,2012-08-01
2012,Sep,1,1,0,2012-09-01
2012,Oct,2,2,0,2012-10-01
2012,Nov,0,0,0,2012-11-01
2012,Dec,2,2,0,2012-12-01
2013,Jan,2,1,1,2013-01-01
2013,Feb,0,0,0,2013-02-01
2013,Mar,0,0,0,2013-03-01
2013,Apr,3,2,1,2013-04-01
2013,May,2,2,0,2013-05-01
2013,Jun,1,1,0,2013-06-01
2013,Jul,2,2,0,2013-07-01
2013,Aug,1,0,1,2013-08-01
2013,Sep,0,0,0,2013-09-01
2013,Oct,2,2,0,2013-10-01
2013,Nov,0,0,0,2013-11-01
2013,Dec,3,3,0,2013-12-01
2014,Jan,2,2,0,2014-01-01
2014,Feb,3,2,1,2014-02-01
2014,Mar,3,3,0,2014-03-01
2014,Apr,3,3,0,2014-04-01
2014,May,1,1,0,2014-05-01
2014,Jun,2,2,0,2014-06-01
2014,Jul,4,3,1,2014-07-01
2014,Aug,3,3,0,2014-08-01
2014,Sep,5,4,1,2014-09-01
2014,Oct,0,0,0,2014-10-01
2014,Nov,1,1,0,2014-11-01
2014,Dec,3,2,1,2014-12-01
2015,Jan,7,6,1,2015-01-01
2015,Feb,4,4,0,2015-02-01
2015,Mar,5,5,0,2015-03-01
2015,Apr,5,4,1,2015-04-01
2015,May,2,2,0,2015-05-01
2015,Jun,6,6,0,2015-06-01
2015,Jul,4,4,0,2015-07-01
2015,Aug,3,2,1,2015-08-01
2015,Sep,1,1,0,2015-09-01
2015,Oct,5,5,0,2015-10-01
2015,Nov,1,1,0,2015-11-01
2015,Dec,2,1,1,2015-12-01
2016,Jan,3,2,1,2016-01-01
2016,Feb,3,2,1,2016-02-01
2016,Mar,4,3,1,2016-03-01
2016,Apr,6,5,1,2016-04-01
2016,May,5,4,1,2016-05-01
2016,Jun,1,1,0,2016-06-01
2016,Jul,1,1,0,2016-07-01
2016,Aug,3,3,0,2016-08-01
2016,Sep,0,0,0,2016-09-01
2016,Oct,1,1,0,2016-10-01
2016,Nov,3,2,1,2016-11-01
2016,Dec,3,3,0,2016-12-01
2017,Jan,4,3,1,2017-01-01
2017,Feb,3,2,1,2017-02-01
2017,Mar,3,3,0,2017-03-01
2017,Apr,4,2,2,2017-04-01
2017,May,2,2,0,2017-05-01
2017,Jun,4,4,0,2017-06-01
2017,Jul,1,0,1,2017-07-01
2017,Aug,3,3,0,2017-08-01
2017,Sep,4,2,2,2017-09-01
2017,Oct,1,0,1,2017-10-01
2017,Nov,4,2,2,2017-11-01
2017,Dec,2,0,2,2017-12-01
2018,Jan,4,4,0,2018-01-01
2018,Feb,4,3,1,2018-02-01
2018,Mar,1,0,1,2018-03-01
2018,Apr,2,2,0,2018-04-01
2018,May,1,1,0,2018-05-01
2018,Jun,3,3,0,2018-06-01
2018,Jul,2,1,1,2018-07-01
2018,Aug,3,3,0,2018-08-01
2018,Sep,0,0,0,2018-09-01
2018,Oct,2,2,0,2018-10-01
2018,Nov,3,3,0,2018-11-01
2018,Dec,1,1,0,2018-12-01
2019,Jan,5,4,1,2019-01-01
2019,Feb,3,3,0,2019-02-01
2019,Mar,4,2,2,2019-03-01
2019,Apr,9,6,3,2019-04-01
2019,May,6,6,0,2019-05-01
2019,Jun,0,0,0,2019-06-01
2019,Jul,3,2,1,2019-07-01
2019,Aug,1,1,0,2019-08-01
2019,Sep,2,2,0,2019-09-01
